Winner Seed,Winner,Loser Seed,Loser,Score,Tournament,Tournament Code,Tournament Pretty Name,Year,Type
5,Jason Kubler,,Marc Garcia-Roman,62 75,guaruja,237,Spain F1,2014,futures
,Peter Heller,6,Oriol Roca Batalla,61 61,guaruja,237,Spain F1,2014,futures
8,Pol Toledo Bague,,Jordi Munoz-Abreu,46 61 61,guaruja,237,Spain F1,2014,futures
,Eduard Esteve Lobato,Q,Gregor Hutterer,61 766,guaruja,237,Spain F1,2014,futures
,Ivan Gakhov,Q,Pedro Martinez Portero,64 75,guaruja,237,Spain F1,2014,futures
1) W,Kristijan Mesaros,Q,Jaume Munar,62 36 62,guaruja,237,Spain F1,2014,futures
2,Roberto Carballes Baena,,Theo Fournerie,62 61,guaruja,237,Spain F1,2014,futures
,Eduard Esteve Lobato,3,Alexander Rumyantsev,61 62,guaruja,237,Spain F1,2014,futures
4,Marc Giner,WC,Andreas Moltke-Leth,61 62,guaruja,237,Spain F1,2014,futures
5,Jason Kubler,Q,Carlos Taberner,64 63,guaruja,237,Spain F1,2014,futures
6,Oriol Roca Batalla,,Sergio Martos Gornes,26 75 767,guaruja,237,Spain F1,2014,futures
,Ivan Gakhov,7,David Vega Hernandez,46 765 763,guaruja,237,Spain F1,2014,futures
8,Pol Toledo Bague,Q,Oriol Garrobe Guilera,60 60,guaruja,237,Spain F1,2014,futures
,Marc Garcia-Roman,,Kevin Kaczynski,63 765,guaruja,237,Spain F1,2014,futures
,Marcos Giraldi Requena,,Maxi Pongratz,765 64,guaruja,237,Spain F1,2014,futures
,Peter Heller,WC,Sergio Castellon Guasch,61 62,guaruja,237,Spain F1,2014,futures
Q,Gregor Hutterer,Q,Lorenz Ilg,64 61,guaruja,237,Spain F1,2014,futures
Q,Pedro Martinez Portero,Q,Jaime Fermosell Delgado,62 20 (RET),guaruja,237,Spain F1,2014,futures
,Jordi Munoz-Abreu,WC,Oscar Mesquida Berg,75 46 61,guaruja,237,Spain F1,2014,futures
,Ricardo Ojeda Lara,Q,Rafael Mazon-Hernandez,63 60,guaruja,237,Spain F1,2014,futures
,Vaclav Safranek,,Evan Song,75 62,guaruja,237,Spain F1,2014,futures
5,Artem Smirnov,Q,Pietro Licciardi,64 765,la-quinta,708,Turkey F2,2014,futures
5,Artem Smirnov,3,Alexander Lobkov,64 63,la-quinta,708,Turkey F2,2014,futures
Q,Pietro Licciardi,7,Teodor-Dacian Craciun,64 64,la-quinta,708,Turkey F2,2014,futures
5,Artem Smirnov,1,Aldin Setkic,61 60,la-quinta,708,Turkey F2,2014,futures
3,Alexander Lobkov,8,Marco Bortolotti,64 64,la-quinta,708,Turkey F2,2014,futures
7,Teodor-Dacian Craciun,4,Steven Moneke,62 46 762,la-quinta,708,Turkey F2,2014,futures
Q,Pietro Licciardi,,Carlos Boluda-Purkiss,61 46 763,la-quinta,708,Turkey F2,2014,futures
1,Aldin Setkic,Q,Adam Sanjurjo Hermida,64 75,la-quinta,708,Turkey F2,2014,futures
3,Alexander Lobkov,WC,Cem Ilkel,63 62,la-quinta,708,Turkey F2,2014,futures
4,Steven Moneke,Q,Miguel Semmler,63 75,la-quinta,708,Turkey F2,2014,futures
5,Artem Smirnov,Q,Kyle Mcmorrow,63 36 60,la-quinta,708,Turkey F2,2014,futures
Q,Pietro Licciardi,6,Tim Nekic,62 61,la-quinta,708,Turkey F2,2014,futures
7,Teodor-Dacian Craciun,Q,Hector Garcia Oliveda,60 60,la-quinta,708,Turkey F2,2014,futures
